Date,CO2
1958.16666666667,316.1
1958.25,317.2
1958.33333333333,317.433333333333
1959.41666666667,317.433333333333
1958.5,315.625
1958.58333333333,314.95
1958.66666666667,313.5
1958.75,313.5
1958.83333333333,313.425
1958.91666666667,314.7
1959,315.5
1959.08333333333,316.7
1959.16666666667,316.733333333333
1959.25,317.675
1959.33333333333,318.325
1959.41666666667,318.025
1959.5,316.525
1959.58333333333,314.9
1959.66666666667,313.825
1959.75,313.4
1959.83333333333,314.875
1959.91666666667,315.525
1960,316.38
1960.08333333333,316.975
1960.16666666667,317.575
1960.25,319.12
1960.33333333333,319.925
1960.41666666667,319.45
1960.5,318.06
1960.58333333333,315.775
1960.66666666667,314.175
1960.75,313.84
1960.83333333333,315.025
1960.91666666667,316.2
1961,316.925
1961.08333333333,317.65
1961.16666666667,318.525
1961.25,319.42
1961.33333333333,320.475
1961.41666666667,319.75
1961.5,318.32
1961.58333333333,316.775
1961.66666666667,315.04
1961.75,315.35
1961.83333333333,316.05
1961.91666666667,316.98
1962,317.925
1962.08333333333,318.625
1962.16666666667,319.68
1962.25,320.55
1962.33333333333,320.9
1962.41666666667,320.5
1962.5,319.425
1962.58333333333,317.733333333333
1962.66666666667,316.066666666667
1962.75,315.475
1962.83333333333,316.55
1962.91666666667,317.525
1963,318.725
1963.08333333333,318.966666666667
1963.16666666667,319.86
1963.25,321.275
1963.33333333333,322.1
1963.41666666667,321.46
1963.5,319.6
1963.58333333333,317.6
1963.66666666667,316.15
1963.75,316.05
1963.83333333333,317
1963.91666666667,318.35
1964,319.4
1964.08333333333,319.4
1964.16666666667,319.1
1964.25,319.4
1964.33333333333,322
1964.41666666667,321.75
1964.5,320.3
1964.58333333333,318.5
1964.66666666667,316.6
1964.75,316.96
1964.83333333333,317.725
1964.91666666667,318.675
1965,319.4
1965.08333333333,320.45
1965.16666666667,320.925
1965.25,322
1965.33333333333,322.06
1965.41666666667,321.775
1965.5,321.04
1965.58333333333,318.725
1965.66666666667,317.825
1965.75,317.34
1965.83333333333,318.875
1965.91666666667,319.325
1966,320.54
1966.08333333333,321.575
1966.16666666667,322.375
1966.25,323.66
1966.33333333333,324.025
1966.41666666667,323.7
1966.5,322.85
1966.58333333333,320.2
1966.66666666667,318.7
1966.75,318.18
1966.83333333333,319.9
1966.91666666667,321.06
1967,322.4
1967.08333333333,322.425
1967.16666666667,323
1967.25,324.28
1967.33333333333,324.95
1967.41666666667,324.075
1967.5,322.48
1967.58333333333,320.85
1967.66666666667,319.3
1967.75,319.45
1967.83333333333,320.675
1967.91666666667,321.92
1968,322.55
1968.08333333333,323.05
1968.16666666667,323.92
1968.25,324.975
1968.33333333333,325.475
1968.41666666667,325.26
1968.5,324.025
1968.58333333333,321.94
1968.66666666667,320.25
1968.75,320.275
1968.83333333333,321.32
1968.91666666667,322.925
1969,323.925
1969.08333333333,324.275
1969.16666666667,325.6
1969.25,326.575
1969.33333333333,327.28
1969.41666666667,326.55
1969.5,325.8
1969.58333333333,323.54
1969.66666666667,322.4
1969.75,321.8
1969.83333333333,322.82
1969.91666666667,324.125
1970,325.08
1970.08333333333,326.025
1970.16666666667,327
1970.25,328.075
1970.33333333333,327.92
1970.41666666667,327.55
1970.5,326.3
1970.58333333333,324.66
1970.66666666667,323.15
1970.75,323.14
1970.83333333333,324.05
1970.91666666667,325.1
1971,326.14
1971.08333333333,326.65
1971.16666666667,327.2
1971.25,327.675
1971.33333333333,328.82
1971.41666666667,328.475
1971.5,327.22
1971.58333333333,325.25
1971.66666666667,323.4
1971.75,323.54
1971.83333333333,324.825
1971.91666666667,325.925
1972,326.72
1972.08333333333,327.625
1972.16666666667,327.725
1972.25,329.64
1972.33333333333,330
1972.41666666667,329.075
1972.5,328.04
1972.58333333333,326.25
1972.66666666667,324.86
1972.75,325.3
1972.83333333333,326.425
1972.91666666667,327.54
1973,328.55
1973.08333333333,329.475
1973.16666666667,330.38
1973.25,331.575
1973.33333333333,332.4
1973.41666666667,331.94
1973.5,330.65
1973.58333333333,329.325
1973.66666666667,327.5
1973.75,327.225
1973.83333333333,328.05
1973.91666666667,328.64
1974,329.325
1974.08333333333,330.625
1974.16666666667,331.5
1974.25,332.625
1974.33333333333,332.975
1974.41666666667,332.16
1974.5,331.075
1974.58333333333,329.22
1974.66666666667,327.375
1974.75,327.375
1974.83333333333,328.4
1974.91666666667,329.675
1975,330.25
1975.08333333333,331.3
1975.16666666667,332
1975.25,333.275
1975.33333333333,333.86
1975.41666666667,333.4
1975.5,331.8
1975.58333333333,329.98
1975.66666666667,328.525
1975.75,328.325
1975.83333333333,329.44
1975.91666666667,330.775
1976,331.74
1976.08333333333,332.55
1976.16666666667,333.45
1976.25,334.45
1976.33333333333,334.76
1976.41666666667,334.4
1976.5,332.86
1976.58333333333,330.725
1976.66666666667,329.35
1976.75,329.1
1976.83333333333,330.35
1976.91666666667,331.625
1977,332.88
1977.08333333333,333.425
1977.16666666667,334.7
1977.25,336.04
1977.33333333333,336.675
1977.41666666667,336.2
1977.5,334.8
1977.58333333333,332.875
1977.66666666667,331.575
1977.75,331.2
1977.83333333333,332.35
1977.91666666667,333.86
1978,335.025
1978.08333333333,335.35
1978.16666666667,336.6
1978.25,337.64
1978.33333333333,337.95
1978.41666666667,337.925
1978.5,336.5
1978.58333333333,334.65
1978.66666666667,332.74
1978.75,332.65
1978.83333333333,333.825
1978.91666666667,334.96
1979,336.225
1979.08333333333,336.7
1979.16666666667,338
1979.25,338.875
1979.33333333333,339.375
1979.41666666667,339.24
1979.5,337.525
1979.58333333333,336.025
1979.66666666667,333.98
1979.75,333.95
1979.83333333333,335.15
1979.91666666667,336.66
1980,337.925
1980.08333333333,338.225
1980.16666666667,340.06
1980.25,340.75
1980.33333333333,341.34
1980.41666666667,340.95
1980.5,339.375
1980.58333333333,337.6
1980.66666666667,335.875
1980.75,336.025
1980.83333333333,337.06
1980.91666666667,338.2
1981,339.22
1981.08333333333,340.45
1981.16666666667,341.4
1981.25,342.45
1981.33333333333,342.82
1981.41666666667,342.125
1981.5,340.425
1981.58333333333,338.4
1981.66666666667,336.7
1981.75,336.94
1981.83333333333,338.425
1981.91666666667,339.6
1982,340.7
1982.08333333333,341.55
1982.16666666667,342.675
1982.25,343.475
1982.33333333333,343.96
1982.41666666667,343.3
1982.5,341.92
1982.58333333333,339.625
1982.66666666667,338.025
1982.75,337.9
1982.83333333333,339.275
1982.91666666667,340.425
1983,341.34
1983.08333333333,342.5
1983.16666666667,343.15
1983.25,344.9
1983.33333333333,345.65
1983.41666666667,345.275
1983.5,343.82
1983.58333333333,342.15
1983.66666666667,339.875
1983.75,340.02
1983.83333333333,341.15
1983.91666666667,342.98
1984,343.675
1984.08333333333,344.425
1984.16666666667,345.175
1984.25,347.4
1984.33333333333,347.35
1984.41666666667,346.66
1984.5,345.2
1984.58333333333,343.3
1984.66666666667,341.12
1984.75,341.475
1984.83333333333,342.85
1984.91666666667,344.14
1985,344.925
1985.08333333333,345.875
1985.16666666667,347.44
1985.25,348.325
1985.33333333333,348.825
1985.41666666667,348.18
1985.5,346.45
1985.58333333333,344.3
1985.66666666667,343
1985.75,342.8
1985.83333333333,344.22
1985.91666666667,345.575
1986,346.25
1986.08333333333,346.825
1986.16666666667,347.74
1986.25,349.525
1986.33333333333,350.08
1986.41666666667,349.375
1986.5,347.825
1986.58333333333,345.82
1986.66666666667,344.8
1986.75,344.1
1986.83333333333,345.62
1986.91666666667,346.875
1987,348
1987.08333333333,348.5
1987.16666666667,349.475
1987.25,350.85
1987.33333333333,351.74
1987.41666666667,351.15
1987.5,349.45
1987.58333333333,348.08
1987.66666666667,346.4
1987.75,346.44
1987.83333333333,347.925
1987.91666666667,348.925
1988,350.4
1988.08333333333,351.775
1988.16666666667,352.125
1988.25,353.58
1988.33333333333,354.175
1988.41666666667,353.75
1988.5,352.22
1988.58333333333,350.3
1988.66666666667,348.75
1988.75,348.96
1988.83333333333,350
1988.91666666667,351.36
1989,352.775
1989.08333333333,353
1989.16666666667,353.6
1989.25,355.36
1989.33333333333,355.6
1989.41666666667,355.125
1989.5,353.86
1989.58333333333,351.575
1989.66666666667,349.86
1989.75,350.05
1989.83333333333,351.2
1989.91666666667,352.48
1990,353.65
1990.08333333333,354.65
1990.16666666667,355.48
1990.25,356.175
1990.33333333333,357.075
1990.41666666667,356.08
1990.5,354.675
1990.58333333333,352.9
1990.66666666667,350.94
1990.75,351.225
1990.83333333333,352.7
1990.91666666667,354.14
1991,354.675
1991.08333333333,355.65
1991.16666666667,357.2
1991.25,358.6
1991.33333333333,359.25
1991.41666666667,358.18
1991.5,356.05
1991.58333333333,353.86
1991.66666666667,352.125
1991.75,352.25
1991.83333333333,353.74
1991.91666666667,355.025
1992,355.9
1992.08333333333,356.68
1992.16666666667,357.9
1992.25,359.075
1992.33333333333,359.54
1992.41666666667,359.125
1992.5,357
1992.58333333333,354.86
1992.66666666667,353.025
1992.75,353.42
1992.83333333333,354.2
1992.91666666667,355.35
1993,356.68
1993.08333333333,357.175
1993.16666666667,358.425
1993.25,359.325
1993.33333333333,360.18
1993.41666666667,359.5
1993.5,357.42
1993.58333333333,355.325
1993.66666666667,353.775
1993.75,354.06
1993.83333333333,355.35
1993.91666666667,356.775
1994,358.32
1994.08333333333,358.9
1994.16666666667,359.925
1994.25,361.22
1994.33333333333,361.65
1994.41666666667,360.9
1994.5,359.46
1994.58333333333,357.375
1994.66666666667,355.925
1994.75,356.02
1994.83333333333,357.575
1994.91666666667,359.06
1995,359.975
1995.08333333333,360.925
1995.16666666667,361.575
1995.25,363.36
1995.33333333333,363.7
1995.41666666667,363.25
1995.5,361.8
1995.58333333333,359.375
1995.66666666667,358
1995.75,357.85
1995.83333333333,359.475
1995.91666666667,360.7
1996,362.025
1996.08333333333,363.175
1996.16666666667,364.06
1996.25,364.7
1996.33333333333,365.325
1996.41666666667,364.88
1996.5,363.475
1996.58333333333,361.32
1996.66666666667,359.4
1996.75,359.625
1996.83333333333,360.74
1996.91666666667,362.375
1997,363.125
1997.08333333333,363.875
1997.16666666667,364.56
1997.25,366.325
1997.33333333333,366.68
1997.41666666667,365.475
1997.5,364.375
1997.58333333333,362.46
1997.66666666667,360.15
1997.75,360.75
1997.83333333333,362.38
1997.91666666667,364.25
1998,365.34
1998.08333333333,366.2
1998.16666666667,367.375
1998.25,368.525
1998.33333333333,369.14
1998.41666666667,368.75
1998.5,367.6
1998.58333333333,365.72
1998.66666666667,363.925
1998.75,364.32
1998.83333333333,365.55
1998.91666666667,366.925
1999,368.12
1999.08333333333,368.85
1999.16666666667,369.6
1999.25,370.975
1999.33333333333,370.84
1999.41666666667,370.25
1999.5,369
1999.58333333333,366.7
1999.66666666667,364.675
1999.75,365.14
1999.83333333333,366.65
1999.91666666667,367.9
2000,369.02
2000.08333333333,369.375
2000.16666666667,370.4
2000.25,371.54
2000.33333333333,371.65
2000.41666666667,371.625
2000.5,369.94
2000.58333333333,367.95
2000.66666666667,366.54
2000.75,366.725
2000.83333333333,368.125
2000.91666666667,369.44
2001,370.175
2001.08333333333,371.325
2001.16666666667,372.06
2001.25,372.775
2001.33333333333,373.8
2001.41666666667,373.06
2001.5,371.3
2001.58333333333,369.425
2001.66666666667,367.88
2001.75,368.05
2001.83333333333,369.375
2001.91666666667,371.02
